date,count,result
2020-04-01 04:00:00+00,993,negative
2020-04-01 04:00:00+00,446,positive
2020-04-02 04:00:00+00,366,positive
2020-04-02 04:00:00+00,815,negative
2020-04-03 04:00:00+00,1053,negative
2020-04-03 04:00:00+00,523,positive
2020-04-04 04:00:00+00,960,negative
2020-04-04 04:00:00+00,306,positive
2020-04-05 04:00:00+00,253,positive
2020-04-05 04:00:00+00,769,negative
2020-04-06 04:00:00+00,584,positive
2020-04-06 04:00:00+00,1114,negative
2020-04-07 04:00:00+00,598,positive
2020-04-07 04:00:00+00,813,negative
2020-04-08 04:00:00+00,550,positive
2020-04-08 04:00:00+00,1059,negative
2020-04-09 04:00:00+00,925,negative
2020-04-09 04:00:00+00,436,positive
2020-04-10 04:00:00+00,511,positive
2020-04-10 04:00:00+00,996,negative
2020-04-11 04:00:00+00,225,positive
2020-04-11 04:00:00+00,635,negative
2020-04-12 04:00:00+00,206,positive
2020-04-12 04:00:00+00,725,negative
2020-04-13 04:00:00+00,510,negative
2020-04-13 04:00:00+00,453,positive
2020-04-14 04:00:00+00,750,negative
2020-04-14 04:00:00+00,608,positive
2020-04-15 04:00:00+00,538,positive
2020-04-15 04:00:00+00,1046,negative
2020-04-16 04:00:00+00,934,negative
2020-04-16 04:00:00+00,527,positive
2020-04-17 04:00:00+00,471,positive
2020-04-17 04:00:00+00,976,negative
2020-04-18 04:00:00+00,258,positive
2020-04-18 04:00:00+00,570,negative
2020-04-19 04:00:00+00,586,negative
2020-04-19 04:00:00+00,218,positive
2020-04-20 04:00:00+00,625,positive
2020-04-20 04:00:00+00,899,negative
2020-04-21 04:00:00+00,1112,negative
2020-04-21 04:00:00+00,414,positive
2020-04-22 04:00:00+00,1133,negative
2020-04-22 04:00:00+00,508,positive
2020-04-23 04:00:00+00,453,positive
2020-04-23 04:00:00+00,1338,negative
2020-04-24 04:00:00+00,474,positive
2020-04-24 04:00:00+00,1247,negative
2020-04-25 04:00:00+00,969,negative
2020-04-25 04:00:00+00,254,positive
2020-04-26 04:00:00+00,211,positive
2020-04-26 04:00:00+00,609,negative
2020-04-27 04:00:00+00,521,positive
2020-04-27 04:00:00+00,1147,negative
2020-04-28 04:00:00+00,524,positive
2020-04-28 04:00:00+00,1318,negative
2020-04-29 04:00:00+00,1665,negative
2020-04-29 04:00:00+00,452,positive
2020-04-30 04:00:00+00,1354,negative
2020-04-30 04:00:00+00,416,positive
2020-05-01 04:00:00+00,1426,negative
2020-05-01 04:00:00+00,330,positive
2020-05-02 04:00:00+00,975,negative
2020-05-02 04:00:00+00,224,positive
2020-05-03 04:00:00+00,914,negative
2020-05-03 04:00:00+00,138,positive
2020-05-04 04:00:00+00,465,positive
2020-05-04 04:00:00+00,1298,negative
2020-05-05 04:00:00+00,1338,negative
2020-05-05 04:00:00+00,419,positive
2020-05-06 04:00:00+00,1916,negative
2020-05-06 04:00:00+00,368,positive
2020-05-07 04:00:00+00,375,positive
2020-05-07 04:00:00+00,1724,negative
2020-05-08 04:00:00+00,1618,negative
2020-05-08 04:00:00+00,275,positive
2020-05-09 04:00:00+00,1135,negative
2020-05-09 04:00:00+00,120,positive
2020-05-10 04:00:00+00,896,negative
2020-05-10 04:00:00+00,78,positive
2020-05-11 04:00:00+00,1332,negative
2020-05-11 04:00:00+00,287,positive
2020-05-12 04:00:00+00,1430,negative
2020-05-12 04:00:00+00,281,positive
2020-05-13 04:00:00+00,288,positive
2020-05-13 04:00:00+00,1875,negative
2020-05-14 04:00:00+00,1934,negative
2020-05-14 04:00:00+00,253,positive
2020-05-15 04:00:00+00,274,positive
2020-05-15 04:00:00+00,1892,negative
2020-05-16 04:00:00+00,1361,negative
2020-05-16 04:00:00+00,106,positive
2020-05-17 04:00:00+00,1321,negative
2020-05-17 04:00:00+00,102,positive
2020-05-18 04:00:00+00,1175,negative
2020-05-18 04:00:00+00,275,positive
2020-05-19 04:00:00+00,271,positive
2020-05-19 04:00:00+00,1823,negative
2020-05-20 04:00:00+00,2002,negative
2020-05-20 04:00:00+00,299,positive
2020-05-21 04:00:00+00,2127,negative
2020-05-21 04:00:00+00,301,positive
2020-05-22 04:00:00+00,243,positive
2020-05-22 04:00:00+00,1965,negative
2020-05-23 04:00:00+00,1510,negative
2020-05-23 04:00:00+00,117,positive
2020-05-24 04:00:00+00,1486,negative
2020-05-24 04:00:00+00,98,positive
2020-05-25 04:00:00+00,102,positive
2020-05-25 04:00:00+00,1443,negative
2020-05-26 04:00:00+00,244,positive
2020-05-26 04:00:00+00,2212,negative
2020-05-27 04:00:00+00,2235,negative
2020-05-27 04:00:00+00,220,positive
2020-05-28 04:00:00+00,2102,negative
2020-05-28 04:00:00+00,174,positive
2020-05-29 04:00:00+00,196,positive
2020-05-29 04:00:00+00,2085,negative
2020-05-30 04:00:00+00,75,positive
2020-05-30 04:00:00+00,1650,negative
2020-05-31 04:00:00+00,1523,negative
2020-05-31 04:00:00+00,61,positive
2020-06-01 04:00:00+00,1583,negative
2020-06-01 04:00:00+00,107,positive
2020-06-02 04:00:00+00,112,positive
2020-06-02 04:00:00+00,1781,negative
2020-06-03 04:00:00+00,2077,negative
2020-06-03 04:00:00+00,144,positive
2020-06-04 04:00:00+00,116,positive
2020-06-04 04:00:00+00,1562,negative
2020-06-05 04:00:00+00,130,positive
2020-06-05 04:00:00+00,1978,negative
2020-06-06 04:00:00+00,59,positive
2020-06-06 04:00:00+00,1335,negative
2020-06-07 04:00:00+00,56,positive
2020-06-07 04:00:00+00,1409,negative
2020-06-08 04:00:00+00,1842,negative
2020-06-08 04:00:00+00,151,positive
2020-06-09 04:00:00+00,2322,negative
2020-06-09 04:00:00+00,142,positive
2020-06-10 04:00:00+00,2488,negative
2020-06-10 04:00:00+00,113,positive
2020-06-11 04:00:00+00,1864,negative
2020-06-11 04:00:00+00,100,positive
2020-06-12 04:00:00+00,2337,negative
2020-06-12 04:00:00+00,96,positive
2020-06-13 04:00:00+00,75,positive
2020-06-13 04:00:00+00,2084,negative
2020-06-14 04:00:00+00,1518,negative
2020-06-14 04:00:00+00,51,positive
2020-06-15 04:00:00+00,117,positive
2020-06-15 04:00:00+00,2277,negative
2020-06-16 04:00:00+00,115,positive
2020-06-16 04:00:00+00,2539,negative
2020-06-17 04:00:00+00,151,positive
2020-06-17 04:00:00+00,3097,negative
2020-06-18 04:00:00+00,2277,negative
2020-06-18 04:00:00+00,144,positive
2020-06-19 04:00:00+00,127,positive
2020-06-19 04:00:00+00,2587,negative
2020-06-20 04:00:00+00,2432,negative
2020-06-20 04:00:00+00,86,positive
2020-06-21 04:00:00+00,1474,negative
2020-06-21 04:00:00+00,78,positive
2020-06-22 04:00:00+00,130,positive
2020-06-22 04:00:00+00,2213,negative
2020-06-23 04:00:00+00,2600,negative
2020-06-23 04:00:00+00,171,positive
2020-06-24 04:00:00+00,150,positive
2020-06-24 04:00:00+00,2567,negative
2020-06-25 04:00:00+00,150,positive
2020-06-25 04:00:00+00,2405,negative
2020-06-26 04:00:00+00,1924,negative
2020-06-26 04:00:00+00,127,positive
2020-06-27 04:00:00+00,81,positive
2020-06-27 04:00:00+00,2008,negative
2020-06-28 04:00:00+00,2080,negative
2020-06-28 04:00:00+00,70,positive
2020-06-29 04:00:00+00,153,positive
2020-06-29 04:00:00+00,2583,negative
2020-06-30 04:00:00+00,2719,negative
2020-06-30 04:00:00+00,149,positive
2020-07-01 04:00:00+00,176,positive
2020-07-01 04:00:00+00,2542,negative
2020-07-02 04:00:00+00,137,positive
2020-07-02 04:00:00+00,2538,negative
2020-07-03 04:00:00+00,96,positive
2020-07-03 04:00:00+00,2748,negative
2020-07-04 04:00:00+00,1510,negative
2020-07-04 04:00:00+00,47,positive
2020-07-05 04:00:00+00,66,positive
2020-07-05 04:00:00+00,1877,negative
2020-07-06 04:00:00+00,2807,negative
2020-07-06 04:00:00+00,140,positive
2020-07-07 04:00:00+00,189,positive
2020-07-07 04:00:00+00,2862,negative
2020-07-08 04:00:00+00,3643,negative
2020-07-08 04:00:00+00,173,positive
2020-07-09 04:00:00+00,158,positive
2020-07-09 04:00:00+00,2912,negative
2020-07-10 04:00:00+00,125,positive
2020-07-10 04:00:00+00,2442,negative
2020-07-11 04:00:00+00,115,positive
2020-07-11 04:00:00+00,1862,negative
2020-07-12 04:00:00+00,94,positive
2020-07-12 04:00:00+00,1602,negative
2020-07-13 04:00:00+00,2533,negative
2020-07-13 04:00:00+00,168,positive
2020-07-14 04:00:00+00,195,positive
2020-07-14 04:00:00+00,2909,negative
2020-07-15 04:00:00+00,177,positive
2020-07-15 04:00:00+00,3299,negative
2020-07-16 04:00:00+00,3615,negative
2020-07-16 04:00:00+00,154,positive
2020-07-17 04:00:00+00,3730,negative
2020-07-17 04:00:00+00,175,positive
2020-07-18 04:00:00+00,2621,negative
2020-07-18 04:00:00+00,97,positive
2020-07-19 04:00:00+00,2363,negative
2020-07-19 04:00:00+00,69,positive
2020-07-20 04:00:00+00,3273,negative
2020-07-20 04:00:00+00,151,positive
2020-07-21 04:00:00+00,2917,negative
2020-07-21 04:00:00+00,178,positive
2020-07-22 04:00:00+00,3981,negative
2020-07-22 04:00:00+00,155,positive
2020-07-23 04:00:00+00,4285,negative
2020-07-23 04:00:00+00,188,positive
2020-07-24 04:00:00+00,170,positive
2020-07-24 04:00:00+00,3850,negative
2020-07-25 04:00:00+00,82,positive
2020-07-25 04:00:00+00,2882,negative
2020-07-26 04:00:00+00,2616,negative
2020-07-26 04:00:00+00,81,positive
2020-07-27 04:00:00+00,157,positive
2020-07-27 04:00:00+00,2670,negative
2020-07-28 04:00:00+00,132,positive
2020-07-28 04:00:00+00,3353,negative
2020-07-29 04:00:00+00,174,positive
2020-07-29 04:00:00+00,3436,negative
2020-07-30 04:00:00+00,139,positive
2020-07-30 04:00:00+00,3596,negative
2020-07-31 04:00:00+00,138,positive
2020-07-31 04:00:00+00,3538,negative
2020-08-01 04:00:00+00,2348,negative
2020-08-01 04:00:00+00,64,positive
2020-08-02 04:00:00+00,2867,negative
2020-08-02 04:00:00+00,69,positive
2020-08-03 04:00:00+00,143,positive
2020-08-03 04:00:00+00,3105,negative
2020-08-04 04:00:00+00,3498,negative
2020-08-04 04:00:00+00,86,positive
2020-08-05 04:00:00+00,5069,negative
2020-08-05 04:00:00+00,196,positive
2020-08-06 04:00:00+00,3634,negative
2020-08-06 04:00:00+00,140,positive
2020-08-07 04:00:00+00,3263,negative
2020-08-07 04:00:00+00,108,positive
2020-08-08 04:00:00+00,2598,negative
2020-08-08 04:00:00+00,84,positive
2020-08-09 04:00:00+00,75,positive
2020-08-09 04:00:00+00,2941,negative
2020-08-10 04:00:00+00,160,positive
2020-08-10 04:00:00+00,3285,negative
2020-08-11 04:00:00+00,3496,negative
2020-08-11 04:00:00+00,159,positive
2020-08-12 04:00:00+00,4623,negative
2020-08-12 04:00:00+00,125,positive
2020-08-13 04:00:00+00,142,positive
2020-08-13 04:00:00+00,3764,negative
2020-08-14 04:00:00+00,4022,negative
2020-08-14 04:00:00+00,131,positive
2020-08-15 04:00:00+00,87,positive
2020-08-15 04:00:00+00,2983,negative
2020-08-16 04:00:00+00,48,positive
2020-08-16 04:00:00+00,2539,negative
2020-08-17 04:00:00+00,3085,negative
2020-08-17 04:00:00+00,116,positive
2020-08-18 04:00:00+00,3657,negative
2020-08-18 04:00:00+00,129,positive
2020-08-19 04:00:00+00,4194,negative
2020-08-19 04:00:00+00,111,positive
2020-08-20 04:00:00+00,124,positive
2020-08-20 04:00:00+00,3576,negative
2020-08-21 04:00:00+00,3641,negative
2020-08-21 04:00:00+00,85,positive
2020-08-22 04:00:00+00,3300,negative
2020-08-22 04:00:00+00,68,positive
2020-08-23 04:00:00+00,2297,negative
2020-08-23 04:00:00+00,42,positive
2020-08-24 04:00:00+00,2804,negative
2020-08-24 04:00:00+00,144,positive
2020-08-25 04:00:00+00,118,positive
2020-08-25 04:00:00+00,3535,negative
2020-08-26 04:00:00+00,133,positive
2020-08-26 04:00:00+00,4112,negative
2020-08-27 04:00:00+00,3529,negative
2020-08-27 04:00:00+00,152,positive
2020-08-28 04:00:00+00,166,positive
2020-08-28 04:00:00+00,4521,negative
2020-08-29 04:00:00+00,80,positive
2020-08-29 04:00:00+00,2995,negative
2020-08-30 04:00:00+00,85,positive
2020-08-30 04:00:00+00,2831,negative
2020-08-31 04:00:00+00,233,positive
2020-08-31 04:00:00+00,2569,negative
2020-09-01 04:00:00+00,161,positive
2020-09-01 04:00:00+00,4243,negative
2020-09-02 04:00:00+00,4297,negative
2020-09-02 04:00:00+00,126,positive
2020-09-03 04:00:00+00,3818,negative
2020-09-03 04:00:00+00,115,positive
2020-09-04 04:00:00+00,3965,negative
2020-09-04 04:00:00+00,90,positive
2020-09-05 04:00:00+00,71,positive
2020-09-05 04:00:00+00,2890,negative
2020-09-06 04:00:00+00,3172,negative
2020-09-06 04:00:00+00,51,positive
2020-09-07 04:00:00+00,2062,negative
2020-09-07 04:00:00+00,29,positive
2020-09-08 04:00:00+00,94,positive
2020-09-08 04:00:00+00,2785,negative
2020-09-09 04:00:00+00,103,positive
2020-09-09 04:00:00+00,3657,negative
2020-09-10 04:00:00+00,3817,negative
2020-09-10 04:00:00+00,123,positive
2020-09-11 04:00:00+00,132,positive
2020-09-11 04:00:00+00,3623,negative
2020-09-12 04:00:00+00,60,positive
2020-09-12 04:00:00+00,3613,negative
2020-09-13 04:00:00+00,2956,negative
2020-09-13 04:00:00+00,38,positive
2020-09-14 04:00:00+00,102,positive
2020-09-14 04:00:00+00,3648,negative
2020-09-15 04:00:00+00,99,positive
2020-09-15 04:00:00+00,3914,negative
2020-09-16 04:00:00+00,97,positive
2020-09-16 04:00:00+00,4415,negative
2020-09-17 04:00:00+00,4336,negative
2020-09-17 04:00:00+00,90,positive
2020-09-18 04:00:00+00,115,positive
2020-09-18 04:00:00+00,4371,negative
2020-09-19 04:00:00+00,3770,negative
2020-09-19 04:00:00+00,66,positive
2020-09-20 04:00:00+00,37,positive
2020-09-20 04:00:00+00,2791,negative
2020-09-21 04:00:00+00,103,positive
2020-09-21 04:00:00+00,3808,negative
2020-09-22 04:00:00+00,109,positive
2020-09-22 04:00:00+00,4027,negative
2020-09-23 04:00:00+00,119,positive
2020-09-23 04:00:00+00,4498,negative
2020-09-24 04:00:00+00,119,positive
2020-09-24 04:00:00+00,4511,negative
2020-09-25 04:00:00+00,4728,negative
2020-09-25 04:00:00+00,113,positive
2020-09-26 04:00:00+00,78,positive
2020-09-26 04:00:00+00,3425,negative
2020-09-27 04:00:00+00,2992,negative
2020-09-27 04:00:00+00,79,positive
2020-09-28 04:00:00+00,3895,negative
2020-09-28 04:00:00+00,144,positive
2020-09-29 04:00:00+00,4396,negative
2020-09-29 04:00:00+00,157,positive
2020-09-30 04:00:00+00,183,positive
2020-09-30 04:00:00+00,4594,negative
2020-10-01 04:00:00+00,4337,negative
2020-10-01 04:00:00+00,187,positive
2020-10-02 04:00:00+00,150,positive
2020-10-02 04:00:00+00,4725,negative
2020-10-03 04:00:00+00,108,positive
2020-10-03 04:00:00+00,3658,negative
2020-10-04 04:00:00+00,3025,negative
2020-10-04 04:00:00+00,108,positive
2020-10-05 04:00:00+00,4300,negative
2020-10-05 04:00:00+00,199,positive
2020-10-06 04:00:00+00,211,positive
2020-10-06 04:00:00+00,5106,negative
2020-10-07 04:00:00+00,235,positive
2020-10-07 04:00:00+00,5297,negative
2020-10-08 04:00:00+00,266,positive
2020-10-08 04:00:00+00,5612,negative
2020-10-09 04:00:00+00,5506,negative
2020-10-09 04:00:00+00,217,positive
2020-10-10 04:00:00+00,134,positive
2020-10-10 04:00:00+00,4678,negative
2020-10-11 04:00:00+00,99,positive
2020-10-11 04:00:00+00,4734,negative
2020-10-12 04:00:00+00,4440,negative
2020-10-12 04:00:00+00,197,positive
2020-10-13 04:00:00+00,5228,negative
2020-10-13 04:00:00+00,224,positive
2020-10-14 04:00:00+00,5546,negative
2020-10-14 04:00:00+00,310,positive
2020-10-15 04:00:00+00,6328,negative
2020-10-15 04:00:00+00,250,positive
